,Rue,Adresse,Nombre,Lat,Long,Bureau,Voix LFI du bureau,Nombre d'électeurs du bureau,Voix estimées
1327,RUE SALVATORE ALLENDE,  20 RUE SALVATORE ALLENDE ,18,45.7745805,4.8645814,28,156,1138,4.513851071667954
1328,ALLEE ALLEE JACQUES BREL,4 ALLEE ALLEE JACQUES BREL ,17,45.7739767,4.8639335,30,189,1146,6.105573982903294
1329,ALLEE ALLEE JACQUES BREL,2 ALLEE ALLEE JACQUES BREL ,2,45.7740015,4.8635352,30,189,1146,0.7183028215180346
1330,ALLEE ALLEE JACQUES BREL,2 ALLEE ALLEE JACQUES BREL ,23,45.7740015,4.8635352,30,189,1146,8.260482447457399
1331,RUE RUE JACQUES BREL,6 RUE RUE JACQUES BREL ,3,45.7739604,4.8635654,30,189,1146,1.077454232277052
1332,RUE RUE JACQUES BREL,6 RUE RUE JACQUES BREL ,20,45.7739604,4.8635654,30,189,1146,7.183028215180346
1333,RUE RUE HENRI ROLLAND,8 RUE RUE HENRI ROLLAND ,13,45.771145,4.8629479,32,198,1308,3.905630205573539
1334,RUE RUE HENRI ROLLAND,3 RUE RUE HENRI ROLLAND ,27,45.7733049,4.8633876,30,189,1146,9.697088090493466
1335,RUE RUE HENRI ROLLAND,1 RUE RUE HENRI ROLLAND ,5,45.7737659,4.8635061,30,189,1146,1.7957570537950864
1336,RUE RUE HENRI ROLLAND,1 RUE RUE HENRI ROLLAND ,12,45.7737659,4.8635061,30,189,1146,4.309816929108208
1337,RUE HENRI ROLLAND,9  RUE HENRI ROLLAND ,22,45.7730129,4.8633996,30,189,1146,7.901331036698381
1338,COURS ANDRE PHILIP,41  COURS ANDRE PHILIP ,22,45.7727042,4.8642027,30,189,1146,7.901331036698381
1339,COURS ANDRE PHILIP,39  COURS ANDRE PHILIP ,9,45.7727268,4.863816,30,189,1146,3.2323626968311556
1340,COURS ANDRE PHILIP,37  COURS ANDRE PHILIP ,9,45.7727361,4.8636361,30,189,1146,3.2323626968311556
1341,COURS ANDRE PHILIP,35  COURS ANDRE PHILIP ,20,45.7727516,4.863461,30,189,1146,7.183028215180346
1342,COURS ANDRE PHILIP,"  15, COURS ANDRE PHILIP ",15,45.7728667,4.8615039,31,143,1166,3.945120070042595
1343,RUE BAT YAM,12  RUE BAT YAM ,22,45.7730833,4.8643172,30,189,1146,7.901331036698381
1344,RUE DE BAT. YAM.,  0010 RUE DE BAT. YAM. ,16,45.7732586,4.8643385,30,189,1146,5.746422572144277
1345,RUE DE BAT. YAM.,  0008 RUE DE BAT. YAM. ,13,45.7734123,4.8643579,30,189,1146,4.668968339867225
1346,RUE DE BAT. YAM.,  0004 RUE DE BAT. YAM. ,24,45.7734183,4.864142,30,189,1146,8.619633858216416
1347,RUE DE BAT. YAM.,  0006 RUE DE BAT. YAM. ,23,45.7735606,4.8643757,30,189,1146,8.260482447457399
1348,RUE DE BAT YAM,  7 RUE DE BAT YAM ,28,45.7734374,4.8646934,30,189,1146,10.056239501252485
1349,RUE BAT-YAM,9 RUE BAT-YAM ,24,45.7732581,4.8646938,30,189,1146,8.619633858216416
1350,RUE SON-TAY,3 RUE SON-TAY ,25,45.7731704,4.865095,30,189,1146,8.978785268975432
1351,RUE SON-TAY,"  1, RUE SON-TAY ",1,45.7731853,4.8648471,30,189,1146,0.3591514107590173
1352,RUE ETIENNE GAGNAIRE,2 RUE ETIENNE GAGNAIRE ,27,45.773279,4.8653586,30,189,1146,9.697088090493466
1353,RUE DE BAT-YAM,"  5, RUE DE BAT-YAM ",7,45.773619,4.8647137,30,189,1146,2.514059875313121
1354,RUE JACQUES BREL,"  3, RUE JACQUES BREL ",36,45.7743804,4.8637135,28,156,1138,9.027702143335908
1355,RUE JACQUES BREL,"  1, RUE JACQUES BREL ",58,45.7747929,4.8635562,28,156,1138,14.544631230930072
1356,AVENUE DUTRIEVOZ,"  10, AVENUE DUTRIEVOZ ",27,45.7730052,4.861793,31,143,1166,7.101216126076671
1357,AVENUE DUTRIEVOZ,"  8, AVENUE DUTRIEVOZ ",36,45.773207,4.8617908,31,143,1166,9.468288168102228
1358,AVENUE DUTRIEVOZ,"  6, AVENUE DUTRIEVOZ ",40,45.7734711,4.861725,31,143,1166,10.520320186780255
1359,AVENUE DUTRIEVOZ,"  4, AVENUE DUTRIEVOZ ",47,45.7736926,4.861784,31,143,1166,12.361376219466797
1360,AVENUE DUTRIEVOZ,"  2A, AVENUE DUTRIEVOZ ",33,45.7740006,4.8614451,31,143,1166,8.679264154093708
1361,AVENUE DUTRIEVOZ,"  2B, AVENUE DUTRIEVOZ ",32,45.7740006,4.8614451,31,143,1166,8.416256149424203
1362,ALLEE GENERAL DAYAN,"  15, ALLEE GENERAL DAYAN ",20,45.7733764,4.8613473,31,143,1166,5.260160093390128
1363,ALLEE MARCEL ACHARD RESIDENCE DEBUSSY,2  ALLEE MARCEL ACHARD RESIDENCE DEBUSSY ,37,45.7753127,4.8612568,28,156,1138,9.27847164731746
1364,ALLEE H.G. CLOUZOT,  4 ALLEE H.G. CLOUZOT ,84,45.7758026,4.8615029,28,156,1138,21.06463833445045
1365,ALLEE H.G. CLOUZOT,  2 ALLEE H.G. CLOUZOT ,112,45.7761473,4.8615539,28,156,1138,28.08618444593393
1366,ALL?E JULIEN DUVIVIER,  8 ALL?E JULIEN DUVIVIER ,8,45.7768521,4.8615802,26,207,1166,3.0956904226931115
1367,ALLEE JULIEN DUVIVIER,  4  ALLEE JULIEN DUVIVIER ,28,45.7773774,4.8619545,26,207,1166,10.83491647942589
1368,ALLEE JULIEN DUVIVIER,  2  ALLEE JULIEN DUVIVIER ,14,45.7775959,4.8619799,26,207,1166,5.417458239712945
1369,AV ROBERTO ROSSELLINI,  14 AV ROBERTO ROSSELLINI ,2,45.7778678,4.8618217,26,207,1166,0.7739226056732779
